x,y,z
214.07185636714948,-143.21115293303137,15.052098710542101
243.30594345273911,-131.79851678380965,13.852582315712739
231.94265364891612,-64.445018819864117,6.7734444197439467
257.4640973592102,-20.841426781557121,2.1905222237211497
266.6245968957511,-13.894284521038079,1.4603481491474331
267.21857553016918,-6.9471422605190396,0.73017407457371653
269.07253562211696,0,0
267.21857553016918,6.9471422605190396,0.73017407457371653
266.62459689575104,13.894284521038079,1.4603481491474331
257.46409735921026,20.841426781557121,2.1905222237211497
231.94265364891618,64.445018819864117,6.7734444197439467
243.30594345273914,131.79851678380965,13.852582315712739
214.07185636714948,143.21115293303137,15.052098710542101
